GeneA,GeneB,Prediction,BinaryPrediction,label
TSPAN1,EVPL,0.8333158493041992,1,old_SL
TSPAN1,ADGRG1,0.7639594674110413,1,old_SL
TSPAN1,PRRG4,0.5634887218475342,1,old_SL
TSPAN1,KRAS,0.9997314810752868,1,new_SL
TSPAN1,NRAS,0.9995627999305724,1,new_SL
TSPAN1,COL16A1,0.999272644519806,1,new_SL
TSPAN1,HRAS,0.9992652535438538,1,new_SL
TSPAN1,MYC,0.9987497329711914,1,new_SL
TSPAN1,HMGA1,0.9982988238334656,1,new_SL
TSPAN1,MUC12,0.997261881828308,1,new_SL
TSPAN1,MAPK1IP1L,0.996960699558258,1,new_SL
TSPAN1,NAE1,0.9968498349189758,1,new_SL
TSPAN1,PALB2,0.9963611960411072,1,new_SL
TSPAN1,PRLR,0.9961549639701844,1,new_SL
TSPAN1,COL5A3,0.996033012866974,1,new_SL
TSPAN1,MUC4,0.995919942855835,1,new_SL
TSPAN1,RET,0.9955495595932008,1,new_SL
TSPAN1,THPO,0.9953666925430298,1,new_SL
TSPAN1,COL4A1,0.9947075843811036,1,new_SL
TSPAN1,NTRK1,0.9931784868240356,1,new_SL
TSPAN1,CNKSR1,0.9928320646286012,1,new_SL
TSPAN1,TIAM1,0.9924365878105164,1,new_SL
TSPAN1,GAB3,0.9919508695602416,1,new_SL
TSPAN1,CUL1,0.9917844533920288,1,new_SL
TSPAN1,MAP2,0.9915984869003296,1,new_SL
TSPAN1,INPP5D,0.991561472415924,1,new_SL
TSPAN1,RELA,0.9912168979644777,1,new_SL
TSPAN1,ABL1,0.9911996722221376,1,new_SL
TSPAN1,MUC16,0.991166651248932,1,new_SL
TSPAN1,COL1A1,0.990549862384796,1,new_SL
TSPAN1,MYO10,0.9904234409332277,1,new_SL
TSPAN1,PER3,0.989787220954895,1,new_SL
TSPAN1,STAT6,0.9896998405456544,1,new_SL
TSPAN1,COL17A1,0.989380955696106,1,new_SL
TSPAN1,BCAR1,0.9889714121818542,1,new_SL
TSPAN1,CYP3A4,0.9882811903953552,1,new_SL
TSPAN1,IL27,0.9880247712135316,1,new_SL
TSPAN1,MUC6,0.987825334072113,1,new_SL
TSPAN1,VAV1,0.9872404932975768,1,new_SL
TSPAN1,KDR,0.9872114062309264,1,new_SL
TSPAN1,ATN1,0.98717600107193,1,new_SL
TSPAN1,PIK3CG,0.9871468544006348,1,new_SL
TSPAN1,RAPH1,0.9867697954177856,1,new_SL
TSPAN1,AR,0.986277997493744,1,new_SL
TSPAN1,RP1L1,0.9859763383865356,1,new_SL
TSPAN1,RAI1,0.9858943223953248,1,new_SL
TSPAN1,ATR,0.9857107996940612,1,new_SL
TSPAN1,PPP1R3A,0.9854534268379213,1,new_SL
TSPAN1,MAP3K14,0.9854215383529664,1,new_SL
TSPAN1,KMT2E,0.9849632382392884,1,new_SL
TSPAN1,PRR36,0.9841675162315368,1,new_SL
TSPAN1,CSF1,0.9841631650924684,1,new_SL
TSPAN1,ZDBF2,0.9841085076332092,1,new_SL
TSPAN1,PLEKHA7,0.9835761189460754,1,new_SL
TSPAN1,VWA5B2,0.9831551313400269,1,new_SL
TSPAN1,HIVEP3,0.9826435446739196,1,new_SL
TSPAN1,VWF,0.9822856187820436,1,new_SL
TSPAN1,MT1A,0.9820348024368286,1,new_SL
TSPAN1,TEP1,0.9812806248664856,1,new_SL
TSPAN1,MDM2,0.981076717376709,1,new_SL
TSPAN1,PRG4,0.9803807139396667,1,new_SL
TSPAN1,COL4A5,0.9801193475723268,1,new_SL
TSPAN1,CAMK2N2,0.9796674251556396,1,new_SL
TSPAN1,STAP2,0.9796043634414672,1,new_SL
TSPAN1,FOXM1,0.9795123934745787,1,new_SL
TSPAN1,MLXIPL,0.9793608784675598,1,new_SL
TSPAN1,XRCC6,0.9791668057441713,1,new_SL
TSPAN1,PRB1,0.97898930311203,1,new_SL
TSPAN1,SPRR2A,0.9784482717514038,1,new_SL
TSPAN1,GLI2,0.9784279465675354,1,new_SL
TSPAN1,ZFHX3,0.977897584438324,1,new_SL
TSPAN1,MEF2B,0.9770484566688538,1,new_SL
TSPAN1,TYK2,0.9768348336219788,1,new_SL
TSPAN1,JAK3,0.976364016532898,1,new_SL
TSPAN1,IFFO1,0.9755987524986268,1,new_SL
TSPAN1,BNIP2,0.9748650193214417,1,new_SL
TSPAN1,FANCE,0.9746490120887756,1,new_SL
TSPAN1,CSF3R,0.9742913842201232,1,new_SL
TSPAN1,CYP2C9,0.9738808274269104,1,new_SL
TSPAN1,TRIP11,0.9735705256462096,1,new_SL
TSPAN1,SS18L1,0.9730631113052368,1,new_SL
TSPAN1,SOS2,0.9729238748550416,1,new_SL
TSPAN1,COL3A1,0.972293496131897,1,new_SL
TSPAN1,CECR2,0.9718903303146362,1,new_SL
TSPAN1,ETV4,0.9717722535133362,1,new_SL
TSPAN1,NFKB2,0.9715991020202636,1,new_SL
TSPAN1,CD19,0.9715682864189148,1,new_SL
TSPAN1,MAPT,0.9713772535324096,1,new_SL
TSPAN1,DDIT3,0.970229148864746,1,new_SL
TSPAN1,SMR3A,0.9697672724723816,1,new_SL
TSPAN1,PTGS1,0.9695972204208374,1,new_SL
TSPAN1,PDGFRA,0.969474196434021,1,new_SL
TSPAN1,POLR2A,0.9694570302963256,1,new_SL
TSPAN1,CSF1R,0.9692809581756592,1,new_SL
TSPAN1,COL4A2,0.968871295452118,1,new_SL
TSPAN1,PAG1,0.967875063419342,1,new_SL
TSPAN1,SOS1,0.9677978157997132,1,new_SL
TSPAN1,CDKN1A,0.967701017856598,1,new_SL
TSPAN1,ARID1A,0.967637062072754,1,new_SL
TSPAN1,ABL2,0.9674943089485168,1,new_SL
TSPAN1,IL12RB2,0.9666178226470948,1,new_SL
TSPAN1,BICRA,0.9665164351463318,1,new_SL
TSPAN1,KIT,0.966296374797821,1,new_SL
TSPAN1,MUC7,0.9662351608276368,1,new_SL
TSPAN1,HMGN3,0.966056764125824,1,new_SL
TSPAN1,GP1BA,0.9655624032020568,1,new_SL
TSPAN1,IL34,0.9645941853523254,1,new_SL
TSPAN1,TNFRSF10B,0.9644654393196106,1,new_SL
TSPAN1,SH2B3,0.9640709757804872,1,new_SL
TSPAN1,KLF6,0.9630385637283324,1,new_SL
TSPAN1,EPHA2,0.962526261806488,1,new_SL
TSPAN1,IL11RA,0.962379515171051,1,new_SL
TSPAN1,TMC6,0.9619654417037964,1,new_SL
TSPAN1,DOK2,0.9619172215461732,1,new_SL
TSPAN1,MED13,0.961853802204132,1,new_SL
TSPAN1,PRRC2B,0.9617621898651124,1,new_SL
TSPAN1,ATF7IP,0.961536943912506,1,new_SL
TSPAN1,IL10RA,0.9605121612548828,1,new_SL
TSPAN1,MUC19,0.9590528607368468,1,new_SL
TSPAN1,ERF,0.9586334228515624,1,new_SL
TSPAN1,STMN1,0.9580844640731812,1,new_SL
TSPAN1,CYP2E1,0.9579709768295288,1,new_SL
TSPAN1,CD247,0.9573405981063844,1,new_SL
TSPAN1,COL4A6,0.956777274608612,1,new_SL
TSPAN1,COL8A2,0.954983115196228,1,new_SL
TSPAN1,NFE2,0.9548553824424744,1,new_SL
TSPAN1,WNK1,0.9545820951461792,1,new_SL
TSPAN1,MAPK12,0.95454603433609,1,new_SL
TSPAN1,MYMX,0.9545422792434692,1,new_SL
TSPAN1,PPM1D,0.954235851764679,1,new_SL
TSPAN1,RGL3,0.9542062282562256,1,new_SL
TSPAN1,RASAL1,0.9538090825080872,1,new_SL
TSPAN1,ZBTB17,0.9538089036941528,1,new_SL
TSPAN1,COL2A1,0.9536986351013184,1,new_SL
TSPAN1,KIAA2012,0.9536908864974976,1,new_SL
TSPAN1,DDR1,0.953568398952484,1,new_SL
TSPAN1,TPR,0.9533841609954834,1,new_SL
TSPAN1,TAOK2,0.9526318907737732,1,new_SL
TSPAN1,FABP4,0.9505273103713988,1,new_SL
TSPAN1,LIFR,0.9496302008628844,1,new_SL
TSPAN1,PIK3R2,0.9494580626487732,1,new_SL
TSPAN1,NFE2L2,0.949432373046875,1,new_SL
TSPAN1,STAT3,0.9472426772117616,1,new_SL
TSPAN1,BUB1,0.946829915046692,1,new_SL
TSPAN1,GAB2,0.9464133977890016,1,new_SL
TSPAN1,IL2RG,0.94581937789917,1,new_SL
TSPAN1,PENK,0.9451768398284912,1,new_SL
TSPAN1,BIN1,0.9447683095932008,1,new_SL
TSPAN1,LCP2,0.9447566866874696,1,new_SL
TSPAN1,IL4R,0.9446897506713868,1,new_SL
TSPAN1,PGR,0.9446458220481871,1,new_SL
TSPAN1,CYLC2,0.9445346593856812,1,new_SL
TSPAN1,NAV3,0.9445251226425172,1,new_SL
TSPAN1,NCOA2,0.9443169236183168,1,new_SL
TSPAN1,XPA,0.9437562823295592,1,new_SL
TSPAN1,BLM,0.943493127822876,1,new_SL
TSPAN1,ZYX,0.9424659013748168,1,new_SL
TSPAN1,MICALL1,0.9424312710762024,1,new_SL
TSPAN1,MLLT6,0.9424025416374208,1,new_SL
TSPAN1,DGKA,0.9420872926712036,1,new_SL
TSPAN1,GFRA1,0.941390872001648,1,new_SL
TSPAN1,IL2RB,0.940765142440796,1,new_SL
TSPAN1,AFF4,0.9404434561729432,1,new_SL
TSPAN1,SP7,0.9401070475578308,1,new_SL
TSPAN1,CNKSR2,0.9399011135101318,1,new_SL
TSPAN1,PTPRJ,0.9391595721244812,1,new_SL
TSPAN1,LIG1,0.939087986946106,1,new_SL
TSPAN1,GLI1,0.9390459060668944,1,new_SL
TSPAN1,REL,0.9390377998352052,1,new_SL
TSPAN1,STAB2,0.9383103251457214,1,new_SL
TSPAN1,COL22A1,0.938117265701294,1,new_SL
TSPAN1,SORBS2,0.9381166100502014,1,new_SL
TSPAN1,CDCA3,0.9379711747169496,1,new_SL
TSPAN1,RASSF1,0.9375115633010864,1,new_SL
TSPAN1,NCKAP5L,0.936153531074524,1,new_SL
TSPAN1,RALGDS,0.936120331287384,1,new_SL
TSPAN1,SKP1,0.9355921149253844,1,new_SL
TSPAN1,CSH1,0.9348105788230896,1,new_SL
TSPAN1,SPHK1,0.9337500929832458,1,new_SL
TSPAN1,NUPR1,0.93289315700531,1,new_SL
TSPAN1,TNS1,0.931706964969635,1,new_SL
TSPAN1,ZC3H18,0.931249499320984,1,new_SL
TSPAN1,ZDHHC5,0.9311343431472778,1,new_SL
TSPAN1,MDK,0.9307428002357484,1,new_SL
TSPAN1,INS,0.930375635623932,1,new_SL
TSPAN1,IFNLR1,0.9301717877388,1,new_SL
TSPAN1,POLQ,0.9301312565803528,1,new_SL
TSPAN1,TCF7L1,0.929947793483734,1,new_SL
TSPAN1,TMSB10,0.9295781254768372,1,new_SL
TSPAN1,IGFBP6,0.9291887283325196,1,new_SL
TSPAN1,EPN3,0.9289218187332152,1,new_SL
TSPAN1,FUS,0.9288661479949952,1,new_SL
TSPAN1,KIAA1210,0.9281466603279114,1,new_SL
TSPAN1,SLC22A1,0.9269611239433287,1,new_SL
TSPAN1,CBL,0.9264986515045166,1,new_SL
TSPAN1,GRB10,0.9262934327125548,1,new_SL
TSPAN1,MFSD3,0.9262610077857972,1,new_SL
TSPAN1,TMSB4X,0.9246742725372314,1,new_SL
TSPAN1,SH2B1,0.9239618182182312,1,new_SL
TSPAN1,STAT5B,0.9235656261444092,1,new_SL
TSPAN1,KSR1,0.9234700202941896,1,new_SL
TSPAN1,PRB2,0.9233777523040771,1,new_SL
TSPAN1,FREM3,0.9231098294258118,1,new_SL
TSPAN1,PRX,0.923067569732666,1,new_SL
TSPAN1,EPOR,0.9227260947227478,1,new_SL
TSPAN1,SYNPO2L,0.9224637746810912,1,new_SL
TSPAN1,FN1,0.9217908382415771,1,new_SL
TSPAN1,NPIPB13,0.9212337732315063,1,new_SL
TSPAN1,GAP43,0.9212073683738708,1,new_SL
TSPAN1,PTPN6,0.9205080270767212,1,new_SL
TSPAN1,ADCY9,0.9204531908035278,1,new_SL
TSPAN1,YES1,0.9204527735710144,1,new_SL
TSPAN1,PIM1,0.9204317927360536,1,new_SL
TSPAN1,SETX,0.9203476309776306,1,new_SL
TSPAN1,MEIG1,0.9200281500816344,1,new_SL
TSPAN1,MEN1,0.9189967513084412,1,new_SL
TSPAN1,ZFHX2,0.9174210429191588,1,new_SL
TSPAN1,TSPOAP1,0.9165339469909668,1,new_SL
TSPAN1,MAP3K4,0.9161773920059204,1,new_SL
TSPAN1,BDKRB1,0.9159349799156188,1,new_SL
TSPAN1,ARHGAP9,0.9158484935760498,1,new_SL
TSPAN1,IGF1,0.9157512187957764,1,new_SL
